
> @barra-vips/operator-web@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local
✓ Ready in 1218ms

 GET /api/operator/media?page_size=100 502 in 268ms (next.js: 108ms, proxy.ts: 90ms, application-code: 71ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 269ms (next.js: 118ms, proxy.ts: 94ms, application-code: 57ms)
 GET /api/operator/models/active 502 in 266ms (next.js: 131ms, proxy.ts: 94ms, application-code: 41ms)
 GET /api/operator/status/agent?window=24h 502 in 262ms (next.js: 155ms, proxy.ts: 82ms, application-code: 25ms)
 GET /dashboard 200 in 230ms (next.js: 13ms, proxy.ts: 40ms, application-code: 177ms)
 GET /dashboard 200 in 284ms (next.js: 17ms, proxy.ts: 21ms, application-code: 246ms)
 GET /dashboard 200 in 237ms (next.js: 18ms, proxy.ts: 15ms, application-code: 205ms)
 GET /dashboard 200 in 391ms (next.js: 27ms, proxy.ts: 47ms, application-code: 317ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 242ms (next.js: 61ms, proxy.ts: 64ms, application-code: 117ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 264ms (next.js: 73ms, proxy.ts: 66ms, application-code: 125ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 312ms (next.js: 84ms, proxy.ts: 67ms, application-code: 160ms)
 GET /api/operator/conversations?page_size=100 502 in 317ms (next.js: 87ms, proxy.ts: 73ms, application-code: 157ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 327ms (next.js: 95ms, proxy.ts: 76ms, application-code: 156ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 334ms (next.js: 110ms, proxy.ts: 78ms, application-code: 146ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A34%3A41.858Z&to=2026-05-06T21%3A34%3A41.858Z&page_size=100 502 in 366ms (next.js: 108ms, proxy.ts: 90ms, application-code: 168ms)
 GET /api/operator/media?page_size=100 502 in 369ms (next.js: 127ms, proxy.ts: 93ms, application-code: 149ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 366ms (next.js: 147ms, proxy.ts: 94ms, application-code: 124ms)
 GET /api/operator/models/active 502 in 368ms (next.js: 176ms, proxy.ts: 96ms, application-code: 97ms)
 GET /api/operator/status/agent?window=24h 502 in 370ms (next.js: 201ms, proxy.ts: 102ms, application-code: 67ms)
 GET /status 200 in 729ms (next.js: 388ms, proxy.ts: 95ms, application-code: 246ms)
 GET /api/operator/status/agent?window=24h 502 in 308ms (next.js: 15ms, proxy.ts: 36ms, application-code: 257ms)
 GET /api/operator/status/calendar 502 in 327ms (next.js: 104ms, proxy.ts: 38ms, application-code: 185ms)
 GET /api/operator/status/evolution 502 in 341ms (next.js: 183ms, proxy.ts: 35ms, application-code: 122ms)
 GET /api/operator/status/health 502 in 351ms (next.js: 273ms, proxy.ts: 33ms, application-code: 46ms)
 GET /dashboard 200 in 197ms (next.js: 8ms, proxy.ts: 20ms, application-code: 169ms)
 GET /status 200 in 325ms (next.js: 11ms, proxy.ts: 13ms, application-code: 300ms)
 GET / 307 in 174ms (next.js: 9ms, proxy.ts: 11ms, application-code: 154ms)
 GET /dashboard 200 in 160ms (next.js: 17ms, proxy.ts: 13ms, application-code: 130ms)
 GET /dashboard 200 in 594ms (next.js: 11ms, proxy.ts: 14ms, application-code: 569ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 237ms (next.js: 85ms, proxy.ts: 89ms, application-code: 64ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 248ms (next.js: 97ms, proxy.ts: 89ms, application-code: 62ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 263ms (next.js: 86ms, proxy.ts: 99ms, application-code: 78ms)
 GET /api/operator/conversations?page_size=100 502 in 256ms (next.js: 88ms, proxy.ts: 96ms, application-code: 73ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 266ms (next.js: 120ms, proxy.ts: 97ms, application-code: 48ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 267ms (next.js: 127ms, proxy.ts: 101ms, application-code: 38ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A34%3A48.191Z&to=2026-05-06T21%3A34%3A48.191Z&page_size=100 502 in 297ms (next.js: 43ms, proxy.ts: 50ms, application-code: 205ms)
 GET /api/operator/media?page_size=100 502 in 301ms (next.js: 53ms, proxy.ts: 52ms, application-code: 196ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 533ms (next.js: 58ms, proxy.ts: 53ms, application-code: 421ms)
 GET /api/operator/models/active 502 in 811ms (next.js: 237ms, proxy.ts: 54ms, application-code: 520ms)
